Entity,Year,Country code,female suicide rate,male suicide rate
Colombia,1990,COL,1.137153,4.58136
Colombia,1991,COL,1.249398,5.343418
Colombia,1992,COL,1.350895,5.882868
Colombia,1993,COL,1.260327,5.963886
Colombia,1994,COL,1.526278,6.272415
Colombia,1995,COL,1.387697,5.592937
Colombia,1996,COL,1.302763,5.911886
Colombia,1997,COL,1.404484,5.70885
Colombia,1998,COL,2.406739,9.129813
Colombia,1999,COL,2.301252,9.395199
Colombia,2000,COL,2.505282,9.830948
Colombia,2001,COL,2.501183,9.949824
Colombia,2002,COL,2.506116,9.256611
Colombia,2004,COL,2.180043,8.890985
Comoros,2004,COM,3.550222635,6.18409729
Congo,2004,COG,6.957852364,13.14991283
Cook Islands,2004,COK,3.290148497,5.35080862
Costa Rica,1962,CRI,0.8727162,5.527928
Costa Rica,1963,CRI,1.64262,8.564259
Costa Rica,1964,CRI,1.174007,7.331346
Costa Rica,1965,CRI,0.498162,6.126972
Costa Rica,1966,CRI,0.7799269,8.63411
Costa Rica,1967,CRI,0.4272753,8.684781
Costa Rica,1968,CRI,0.6360087,7.344354
Costa Rica,1969,CRI,0.5877427,8.362664
Costa Rica,1970,CRI,0.6645824,6.112966
Costa Rica,1971,CRI,1.125805,8.017241
Costa Rica,1972,CRI,1.363301,7.379571
Costa Rica,1973,CRI,1.356756,6.336791
Costa Rica,1974,CRI,1.576568,8.985533
Costa Rica,1975,CRI,2.115221,9.019467
Costa Rica,1976,CRI,2.641876,13.07302
Costa Rica,1977,CRI,2.350467,8.485324
Costa Rica,1978,CRI,1.839676,8.334862
Costa Rica,1979,CRI,1.295663,7.694184
Costa Rica,1980,CRI,2.385492,10.61525
Costa Rica,1981,CRI,1.513461,8.247713
Costa Rica,1982,CRI,1.949306,8.343644
Costa Rica,1983,CRI,1.563824,11.52164
Costa Rica,1984,CRI,1.794858,9.22881
Costa Rica,1985,CRI,1.326825,10.31565
Costa Rica,1986,CRI,0.9740071,11.83093
Costa Rica,1987,CRI,1.57761,8.937768
Costa Rica,1988,CRI,1.248714,11.4233
Costa Rica,1989,CRI,2.198613,11.01365
Costa Rica,1990,CRI,1.337344,11.13284
Costa Rica,1991,CRI,1.246473,8.739034
Costa Rica,1992,CRI,1.535387,9.651018
Costa Rica,1993,CRI,1.856192,10.33389
Costa Rica,1994,CRI,1.901241,9.501804
Costa Rica,1995,CRI,2.291895,10.86659
Costa Rica,1996,CRI,1.38356,11.41977
Costa Rica,1997,CRI,1.613845,9.966523
Costa Rica,1998,CRI,1.299603,11.70698
Costa Rica,1999,CRI,1.254674,12.00752
Costa Rica,2000,CRI,1.522919,11.74255
Costa Rica,2001,CRI,1.455986,9.661507
Costa Rica,2002,CRI,1.933612,12.34662
Costa Rica,2003,CRI,2.442115,13.56202
Costa Rica,2004,CRI,2.148408,14.01306
Cote d'Ivoire,2004,CIV,11.85433578,28.09916687
Croatia,1985,HRV,10.02628,30.38738
Croatia,1986,HRV,9.546262,30.17093
Croatia,1987,HRV,10.73183,32.17424
Croatia,1988,HRV,11.11103,30.85986
Croatia,1989,HRV,10.14025,28.04429
Croatia,1990,HRV,10.20551,31.37354
Croatia,1991,HRV,9.989329,30.06224
Croatia,1992,HRV,9.034454,33.47615
Croatia,1993,HRV,9.667844,30.59909
Croatia,1994,HRV,9.080338,31.04424
Croatia,1995,HRV,7.616956,26.88384
Croatia,1996,HRV,8.89677,31.70749
Croatia,1997,HRV,8.328824,28.80243
Croatia,1998,HRV,9.316629,31.55601
Croatia,1999,HRV,8.638062,30.4769
Croatia,2000,HRV,7.595149,30.41285
Croatia,2001,HRV,6.665844,25.77935
Croatia,2002,HRV,6.912228,24.98528
Croatia,2003,HRV,5.606805,25.6826
Croatia,2004,HRV,7.074668,23.86886
Cuba,1964,CUB,8.704844,15.97404
Cuba,1968,CUB,10.60389,17.15462
Cuba,1969,CUB,10.65689,13.42893
Cuba,1970,CUB,11.06531,16.96527
Cuba,1971,CUB,12.11019,19.81159
Cuba,1972,CUB,13.99399,20.59531
Cuba,1973,CUB,13.32282,25.1382
Cuba,1974,CUB,16.35233,25.86386
Cuba,1975,CUB,15.75323,25.26874
Cuba,1976,CUB,17.38483,24.99421
Cuba,1977,CUB,18.4484,23.97922
Cuba,1992,CUB,17.22876,24.30702
Cuba,1993,CUB,17.2061,25.27676
Cuba,1994,CUB,14.70204,25.43201
Cuba,1995,CUB,14.09523,24.45931
Cuba,1996,CUB,11.42207,23.17361
Cuba,1997,CUB,10.52007,23.30941
Cuba,1998,CUB,10.80781,22.9506
Cuba,1999,CUB,9.469912,23.68713
Cuba,2000,CUB,8.589081,21.13802
Cuba,2001,CUB,7.20769,19.1257
Cuba,2002,CUB,7.033532,17.93988
Cuba,2003,CUB,5.714284,17.50294
Cuba,2004,CUB,5.674331,17.69127
Cyprus,1999,CYP,,0.265023
Cyprus,2000,CYP,,2.262353
Cyprus,2004,CYP,0.2754736,0.980029
Czech Republic,1986,CZE,9.503201,28.8535
Czech Republic,1987,CZE,8.125144,25.93634
Czech Republic,1988,CZE,8.98777,25.40523
Czech Republic,1989,CZE,8.210373,25.30838
Czech Republic,1990,CZE,8.271993,26.55952
Czech Republic,1991,CZE,7.742053,25.75252
Czech Republic,1992,CZE,7.50093,27.11848
Czech Republic,1993,CZE,7.470964,25.81005
Czech Republic,1994,CZE,7.617469,24.32088
Czech Republic,1995,CZE,6.44746,23.28092
Czech Republic,1996,CZE,5.081792,21.61188
Czech Republic,1997,CZE,5.25615,22.94675
Czech Republic,1998,CZE,4.965591,22.166
Czech Republic,1999,CZE,4.659358,22.2891
Czech Republic,2000,CZE,5.038876,22.37462
Czech Republic,2001,CZE,4.686975,22.12178
Czech Republic,2002,CZE,4.675765,20.64323
Czech Republic,2003,CZE,5.044152,23.33724
Czech Republic,2004,CZE,4.079931,21.73415
Czechoslovakia,1953,OWID_CZS,10.82814,28.34556
Czechoslovakia,1954,OWID_CZS,10.28614,29.97081
Czechoslovakia,1955,OWID_CZS,10.25148,28.36906
Czechoslovakia,1956,OWID_CZS,10.87737,29.13223
Czechoslovakia,1957,OWID_CZS,10.81348,29.94037
Czechoslovakia,1958,OWID_CZS,10.9639,29.41469
Czechoslovakia,1959,OWID_CZS,11.55604,31.55763
Czechoslovakia,1960,OWID_CZS,12.72596,31.55822
Czechoslovakia,1961,OWID_CZS,11.09167,30.05474
Czechoslovakia,1962,OWID_CZS,11.16994,29.82165
Czechoslovakia,1963,OWID_CZS,11.31057,31.09758
Czechoslovakia,1964,OWID_CZS,10.94708,29.80415
Czechoslovakia,1965,OWID_CZS,11.00362,31.31145
Czechoslovakia,1966,OWID_CZS,11.71201,33.71492
Czechoslovakia,1967,OWID_CZS,11.84606,34.85952
Czechoslovakia,1968,OWID_CZS,12.51732,35.11474
Czechoslovakia,1969,OWID_CZS,11.04574,33.70097
Czechoslovakia,1970,OWID_CZS,12.01178,36.7509
Czechoslovakia,1971,OWID_CZS,10.85366,35.94737
Czechoslovakia,1972,OWID_CZS,11.36778,35.32833
Czechoslovakia,1973,OWID_CZS,9.913467,32.85426
Czechoslovakia,1974,OWID_CZS,10.03628,33.47021
Czechoslovakia,1975,OWID_CZS,9.9984,32.13456
Czechoslovakia,1976,OWID_CZS,9.454665,30.23492
Czechoslovakia,1977,OWID_CZS,8.85787,31.93786
Czechoslovakia,1978,OWID_CZS,9.647628,31.17116
